num,ind,fromNode,aLabel,relationship,toNode,bLabel,text,explanation,source
0,ACType,A,NA,NA,NA,NA,Public,Not hidden,Thoughts.json
1,ACType,A,NA,NA,NA,NA,Private,Hidden to others,Thoughts.json
1,Kind,A,normal,NA,NA,NA,Normal,"A normal node, no types or tags assigned.",Thoughts.json
2,Kind,A,type,IS_A_TYPE,NA,NA,IsType,"A node can have only 1 type, but can have no type (Kind=1)",Thoughts.json
4,Kind,A,tag,IS_A_TAG,NA,NA,IsTag,This is the node identification for a tag.,Thoughts.json
0,Relation,A,NA,NA,B,NA,NoValue,No relationship. ,Links.json
1,Relation,A,parent,HAS_CHILD,B,child,Child,A HAS_CHILD B,Links.json
2,Relation,A,child,HAS_PARENT,B,parent,Parent,A HAS_PARENT B,Links.json
3,Relation,A,NA,IS_JUMP_THOUGHT_OF,B,NA,Jump,NA,Links.json
4,Relation,A,sibling,HAS_SIBLING,B,sibling,Sibling,NA,Links.json
1,Meaning,A,varies,NA,B,varies,Normal,NA,Links.json
2,Meaning,A,normal,HAS_CHILD,B,tag,InstanceOf,A HAS_TAG B,Links.json
3,Meaning,A,type,HAS_CHILD_TYPE,B,type,SuperType,A is a type and B is a child type of A,Links.json
4,Meaning,A,varies,HAS_EVENT,B,varies,HasEvent,A timestamp or date associated with link between A and B,Links.json
5,Meaning,A,tag,HAS_SUBTAG,B,normal,HasTag,B is x and has tag A,Links.json
7,Meaning,A,tag,,B,tag,HasSubtag,A and B are tags; B is subtag of A,Links.json